"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0006352","DNA-templated transcription, initiation","85/219","248/18493",3.59243056816203e-105,6.49870689780512e-102,4.2882276466271e-102,85,"bp","ChemoRes","2068/8061/2071/9794/1024/8850/1387/7067/367/1385/7157/23054/6908/6256/6722/5914/2099/7421/7068/5467/2100/10891/9971/8856/2908/5469/5465/9862/5468/3164/7376/10001/10062/8431/2101/9970/2494/6258/6095/5241/190/3725/9439/6878/6882/10002/81857/9443/84246/51586/9440/6877/5440/5435/6881/5441/5439/51003/6879/9477/6874/9441/5436/6875/892/5433/9282/9442/112950/90390/9968/9969/6873/10025/5438/29079/7343/1025/5437/5432/5431/5430/5430/83860/5434/6884","ERCC2/FOSL1/ERCC3/MAML1/CDK8/KAT2B/CREBBP/THRA/AR/CREB1/TP53/NCOA6/TBP/RXRA/SRF/RARA/ESR1/VDR/THRB/PPARD/ESR2/PPARGC1A/NR1H4/NR1I2/NR3C1/MED1/PPARA/MED24/PPARG/NR4A1//MED6/NR1H3/NR0B2/ESRRA/NR1I3/NR5A2/RXRG/RORA/PGR/NR0B1/JUN/MED23/TAF6/TAF11/NR2E3/MED25/MED7/MED10/MED15/MED17/TAF5/POLR2K/POLR2F/TAF10/POLR2L/POLR2J/MED31/TAF7/MED20/TAF4/MED26/POLR2G/TAF4B/CCNC/POLR2D/MED14/MED27/MED8/MED30/MED12/MED13/TAF2/MED16/POLR2I/MED4/UBTF/CDK9/POLR2H/POLR2C/POLR2B/POLR2A//TAF3/POLR2E/TAF13"
"2","GO:0006367","transcription initiation from RNA polymerase II promoter","81/219","186/18493",2.35806137898967e-110,8.53146606918464e-107,5.62956127110377e-107,81,"bp","ChemoRes","2068/2071/9794/1024/8850/1387/7067/367/1385/7157/6908/6256/6722/5914/2099/7421/7068/5467/2100/10891/9971/8856/2908/5469/5465/9862/5468/3164/7376/10001/10062/8431/2101/9970/2494/6258/6095/5241/190/9439/6878/6882/10002/81857/9443/84246/51586/9440/6877/5440/5435/6881/5441/5439/51003/6879/9477/6874/9441/5436/6875/892/5433/9282/9442/112950/90390/9968/9969/6873/10025/5438/29079/1025/5437/5432/5431/5430/5430/83860/5434/6884","ERCC2/ERCC3/MAML1/CDK8/KAT2B/CREBBP/THRA/AR/CREB1/TP53/TBP/RXRA/SRF/RARA/ESR1/VDR/THRB/PPARD/ESR2/PPARGC1A/NR1H4/NR1I2/NR3C1/MED1/PPARA/MED24/PPARG/NR4A1//MED6/NR1H3/NR0B2/ESRRA/NR1I3/NR5A2/RXRG/RORA/PGR/NR0B1/MED23/TAF6/TAF11/NR2E3/MED25/MED7/MED10/MED15/MED17/TAF5/POLR2K/POLR2F/TAF10/POLR2L/POLR2J/MED31/TAF7/MED20/TAF4/MED26/POLR2G/TAF4B/CCNC/POLR2D/MED14/MED27/MED8/MED30/MED12/MED13/TAF2/MED16/POLR2I/MED4/CDK9/POLR2H/POLR2C/POLR2B/POLR2A//TAF3/POLR2E/TAF13"
"3","GO:0048545","response to steroid hormone","63/219","390/18493",6.41967209022566e-54,3.79035849843919e-51,2.50110065882869e-51,63,"bp","ChemoRes","8061/2056/596/5105/2033/7067/6720/367/8648/23054/6256/5914/10499/2099/7421/7068/5467/2100/10891/9971/8856/2908/5469/5465/8202/672/9862/5468/3164/9325/23426/5970/7376/10062/3275/8431/2101/6714/8204/9970/2353/2494/9612/6258/4654/6095/23411/5241/190/7329/9611/51341/10002/9440/6879/9282/90390/9968/9969/10025/29079/51366/10013","FOSL1/EPO/BCL2/PCK1/EP300/THRA/SREBF1/AR/NCOA1/NCOA6/RXRA/RARA/NCOA2/ESR1/VDR/THRB/PPARD/ESR2/PPARGC1A/NR1H4/NR1I2/NR3C1/MED1/PPARA/NCOA3/BRCA1/MED24/PPARG/NR4A1/TRIP4/GRIP1/RELA//NR1H3/PRMT2/NR0B2/ESRRA/SRC/NRIP1/NR1I3/FOS/NR5A2/NCOR2/RXRG/MYOD1/RORA/SIRT1/PGR/NR0B1/UBE2I/NCOR1/ZBTB7A/NR2E3/MED17/TAF7/MED14/MED30/MED12/MED13/MED16/MED4/UBR5/HDAC6"
"4","GO:0005667","transcription factor complex","62/223","356/19659",3.58077406572529e-56,1.00977828653453e-53,8.25462653046145e-54,62,"cc","ChemoRes","2068/2071/4088/2033/3091/7067/4801/4800/4802/7391/1385/7157/23054/6908/6256/5914/7421/7068/5467/9971/8856/5465/5468/3164/5970/7376/10001/10062/2648/9970/2353/2494/1051/4654/3725/5449/9439/6878/9734/6882/2113/10002/81857/9443/2034/9440/6877/6881/54797/51003/6879/6874/9441/6875/9282/9442/112950/6873/29079/83860/129685/6884","ERCC2/ERCC3/SMAD3/EP300/HIF1A/THRA/NFYB/NFYA/NFYC/USF1/CREB1/TP53/NCOA6/TBP/RXRA/RARA/VDR/THRB/PPARD/NR1H4/NR1I2/PPARA/PPARG/NR4A1/RELA//MED6/NR1H3/KAT2A/NR1I3/FOS/NR5A2/CEBPB/MYOD1/JUN/POU1F1/MED23/TAF6/HDAC9/TAF11/ETS1/NR2E3/MED25/MED7/EPAS1/MED17/TAF5/TAF10/MED18/MED31/TAF7/TAF4/MED26/TAF4B/MED14/MED27/MED8/TAF2/MED4/TAF3/TAF8/TAF13"
"5","GO:0003713","transcription coactivator activity","59/223","321/17632",4.04317633389831e-52,1.75069535257797e-49,1.26402460122926e-49,59,"mf","ChemoRes","2033/10370/9794/8850/1387/7067/4802/8648/23054/6256/5914/10499/7421/7068/5467/2100/9412/10891/9971/8856/5469/5465/8202/672/9862/5468/9325/23426/7376/10001/10062/3275/2648/8204/9970/6604/4654/3725/5449/9439/6882/10847/9443/9440/6881/51003/6879/9477/6874/9441/9282/9442/90390/9968/9969/10025/29079/3054/6871","EP300/CITED2/MAML1/KAT2B/CREBBP/THRA/NFYC/NCOA1/NCOA6/RXRA/RARA/NCOA2/VDR/THRB/PPARD/ESR2/MED21/PPARGC1A/NR1H4/NR1I2/MED1/PPARA/NCOA3/BRCA1/MED24/PPARG/TRIP4/GRIP1//MED6/NR1H3/PRMT2/KAT2A/NRIP1/NR1I3/SMARCD3/MYOD1/JUN/POU1F1/MED23/TAF11/SRCAP/MED7/MED17/TAF10/MED31/TAF7/MED20/TAF4/MED26/MED14/MED27/MED30/MED12/MED13/MED16/MED4/HCFC1/TADA2A"
"6","GO:0030522","intracellular receptor signaling pathway","57/219","288/18493",7.33347415397301e-54,3.79035849843919e-51,2.50110065882869e-51,57,"bp","ChemoRes","2033/10370/7067/6720/367/8648/23054/6256/5914/2099/7421/7068/5467/2100/10891/9971/8856/2908/5469/5465/8202/672/9862/5468/3164/9325/23426/5970/7376/10062/3275/2101/6714/8204/9970/2494/9612/6258/6095/23411/5241/190/7329/9611/51341/10002/9440/6879/9282/90390/9968/9969/10025/29079/51366/10013/7314","EP300/CITED2/THRA/SREBF1/AR/NCOA1/NCOA6/RXRA/RARA/ESR1/VDR/THRB/PPARD/ESR2/PPARGC1A/NR1H4/NR1I2/NR3C1/MED1/PPARA/NCOA3/BRCA1/MED24/PPARG/NR4A1/TRIP4/GRIP1/RELA//NR1H3/PRMT2/ESRRA/SRC/NRIP1/NR1I3/NR5A2/NCOR2/RXRG/RORA/SIRT1/PGR/NR0B1/UBE2I/NCOR1/ZBTB7A/NR2E3/MED17/TAF7/MED14/MED30/MED12/MED13/MED16/MED4/UBR5/HDAC6/UBB"
"7","GO:0071383","cellular response to steroid hormone stimulus","56/219","259/18493",3.37619409036273e-55,3.05376755473309e-52,2.01505478866912e-52,56,"bp","ChemoRes","5105/2033/7067/367/8648/23054/6256/5914/2099/7421/7068/5467/2100/10891/9971/8856/2908/5469/5465/8202/672/9862/5468/3164/9325/23426/7376/10062/3275/8431/2101/6714/8204/9970/2494/9612/6258/4654/6095/23411/5241/190/7329/9611/51341/10002/9440/6879/9282/90390/9968/9969/10025/29079/51366/10013","PCK1/EP300/THRA/AR/NCOA1/NCOA6/RXRA/RARA/ESR1/VDR/THRB/PPARD/ESR2/PPARGC1A/NR1H4/NR1I2/NR3C1/MED1/PPARA/NCOA3/BRCA1/MED24/PPARG/NR4A1/TRIP4/GRIP1//NR1H3/PRMT2/NR0B2/ESRRA/SRC/NRIP1/NR1I3/NR5A2/NCOR2/RXRG/MYOD1/RORA/SIRT1/PGR/NR0B1/UBE2I/NCOR1/ZBTB7A/NR2E3/MED17/TAF7/MED14/MED30/MED12/MED13/MED16/MED4/UBR5/HDAC6"
"8","GO:0009755","hormone-mediated signaling pathway","54/219","240/18493",3.48630621838965e-54,2.52269117962675e-51,1.66461947438057e-51,54,"bp","ChemoRes","2033/7067/367/8648/23054/6256/5914/2099/7421/7068/5467/2100/10891/9971/8856/2908/5469/5465/8202/672/9862/5468/3164/9325/23426/7376/10062/3275/8431/2101/6714/8204/9970/2494/9612/6258/6095/23411/5241/190/7329/9611/51341/10002/9440/6879/9282/90390/9968/9969/10025/29079/51366/10013","EP300/THRA/AR/NCOA1/NCOA6/RXRA/RARA/ESR1/VDR/THRB/PPARD/ESR2/PPARGC1A/NR1H4/NR1I2/NR3C1/MED1/PPARA/NCOA3/BRCA1/MED24/PPARG/NR4A1/TRIP4/GRIP1//NR1H3/PRMT2/NR0B2/ESRRA/SRC/NRIP1/NR1I3/NR5A2/NCOR2/RXRG/RORA/SIRT1/PGR/NR0B1/UBE2I/NCOR1/ZBTB7A/NR2E3/MED17/TAF7/MED14/MED30/MED12/MED13/MED16/MED4/UBR5/HDAC6"
"9","GO:0043401","steroid hormone mediated signaling pathway","54/219","191/18493",3.74830474564407e-60,4.52045552324675e-57,2.98286146074412e-57,54,"bp","ChemoRes","2033/7067/367/8648/23054/6256/5914/2099/7421/7068/5467/2100/10891/9971/8856/2908/5469/5465/8202/672/9862/5468/3164/9325/23426/7376/10062/3275/8431/2101/6714/8204/9970/2494/9612/6258/6095/23411/5241/190/7329/9611/51341/10002/9440/6879/9282/90390/9968/9969/10025/29079/51366/10013","EP300/THRA/AR/NCOA1/NCOA6/RXRA/RARA/ESR1/VDR/THRB/PPARD/ESR2/PPARGC1A/NR1H4/NR1I2/NR3C1/MED1/PPARA/NCOA3/BRCA1/MED24/PPARG/NR4A1/TRIP4/GRIP1//NR1H3/PRMT2/NR0B2/ESRRA/SRC/NRIP1/NR1I3/NR5A2/NCOR2/RXRG/RORA/SIRT1/PGR/NR0B1/UBE2I/NCOR1/ZBTB7A/NR2E3/MED17/TAF7/MED14/MED30/MED12/MED13/MED16/MED4/UBR5/HDAC6"
"10","GO:0044798","nuclear transcription factor complex","48/223","198/19659",1.42242422985695e-50,1.00280908204915e-48,8.19765542996507e-49,48,"cc","ChemoRes","2068/2071/4088/3091/7067/4801/4800/4802/1385/7157/6908/6256/5914/7421/7068/5467/9971/8856/5465/5468/7376/10001/10062/2648/9970/2353/2494/1051/3725/6878/6882/81857/9440/6877/6881/54797/51003/6879/6874/9441/6875/9282/112950/6873/29079/83860/129685/6884","ERCC2/ERCC3/SMAD3/HIF1A/THRA/NFYB/NFYA/NFYC/CREB1/TP53/TBP/RXRA/RARA/VDR/THRB/PPARD/NR1H4/NR1I2/PPARA/PPARG//MED6/NR1H3/KAT2A/NR1I3/FOS/NR5A2/CEBPB/JUN/TAF6/TAF11/MED25/MED17/TAF5/TAF10/MED18/MED31/TAF7/TAF4/MED26/TAF4B/MED14/MED8/TAF2/MED4/TAF3/TAF8/TAF13"
