"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"1",2067,1763,"ERCC1","DNA2"
"2",2067,5432,"ERCC1","POLR2C"
"3",2067,5436,"ERCC1","POLR2G"
"4",2067,100533467,"ERCC1","BIVM-ERCC5"
"5",2067,22909,"ERCC1","FAN1"
"6",2067,2956,"ERCC1","MSH6"
"7",2067,10450,"ERCC1","PPIE"
"8",2067,5395,"ERCC1","PMS2"
"9",2067,5810,"ERCC1","RAD1"
"10",2067,5893,"ERCC1","RAD52"
"11",2067,27339,"ERCC1","PRPF19"
"12",2067,8450,"ERCC1","CUL4B"
"13",2067,201254,"ERCC1","CENPX"
"14",2067,1069,"ERCC1","CETN2"
"15",2067,7518,"ERCC1","XRCC4"
"16",2067,5887,"ERCC1","RAD23B"
"17",2067,57697,"ERCC1","FANCM"
"18",2067,5439,"ERCC1","POLR2J"
"19",2067,5886,"ERCC1","RAD23A"
"20",2067,11073,"ERCC1","TOPBP1"
"21",2067,10714,"ERCC1","POLD3"
"22",2067,10038,"ERCC1","PARP2"
"23",2067,2547,"ERCC1","XRCC6"
"24",2067,348654,"ERCC1","GEN1"
"25",2067,5932,"ERCC1","RBBP8"
"26",2067,7157,"ERCC1","TP53"
"27",2067,5883,"ERCC1","RAD9A"
"28",2067,7520,"ERCC1","XRCC5"
"29",2067,146956,"ERCC1","EME1"
"30",2067,80233,"ERCC1","FAAP100"
"31",2067,378708,"ERCC1","CENPS"
"32",2067,6119,"ERCC1","RPA3"
"33",2067,5426,"ERCC1","POLE"
"34",2067,2968,"ERCC1","GTF2H4"
"35",2067,675,"ERCC1","BRCA2"
"36",2067,83990,"ERCC1","BRIP1"
"37",2067,285464,"ERCC1","CRIPAK"
"38",2067,5441,"ERCC1","POLR2L"
"39",2067,84464,"ERCC1","SLX4"
"40",2067,5433,"ERCC1","POLR2D"
"41",2067,7874,"ERCC1","USP7"
"42",2067,7314,"ERCC1","UBB"
"43",2067,64858,"ERCC1","DCLRE1B"
"44",2067,2188,"ERCC1","FANCF"
"45",2067,1642,"ERCC1","DDB1"
"46",2067,29089,"ERCC1","UBE2T"
"47",2067,7156,"ERCC1","TOP3A"
"48",2067,2237,"ERCC1","FEN1"
"49",2067,4437,"ERCC1","MSH3"
"50",2067,7507,"ERCC1","XPA"
"51",2067,728340,"ERCC1","GTF2H2C"
"52",2067,142,"ERCC1","PARP1"
"53",2067,2068,"ERCC1","ERCC2"
"54",2067,902,"ERCC1","CCNH"
"55",2067,580,"ERCC1","BARD1"
"56",2067,57804,"ERCC1","POLD4"
"57",2067,2177,"ERCC1","FANCD2"
"58",2067,199990,"ERCC1","FAAP20"
"59",2067,1022,"ERCC1","CDK7"
"60",2067,6233,"ERCC1","RPS27A"
"61",2067,5425,"ERCC1","POLD2"
"62",2067,9978,"ERCC1","RBX1"
"63",2067,7398,"ERCC1","USP1"
"64",2067,5888,"ERCC1","RAD51"
"65",2067,5427,"ERCC1","POLE2"
"66",2067,3981,"ERCC1","LIG4"
"67",2067,2187,"ERCC1","FANCB"
"68",2067,10111,"ERCC1","RAD50"
"69",2067,5111,"ERCC1","PCNA"
"70",2067,197342,"ERCC1","EME2"
"71",2067,56655,"ERCC1","POLE4"
"72",2067,5437,"ERCC1","POLR2H"
"73",2067,6117,"ERCC1","RPA1"
"74",2067,9937,"ERCC1","DCLRE1A"
"75",2067,10524,"ERCC1","KAT5"
"76",2067,5980,"ERCC1","REV3L"
"77",2067,91603,"ERCC1","ZNF830"
"78",2067,2176,"ERCC1","FANCC"
"79",2067,5982,"ERCC1","RFC2"
"80",2067,2965,"ERCC1","GTF2H1"
"81",2067,55120,"ERCC1","FANCL"
"82",2067,7316,"ERCC1","UBC"
"83",2067,2033,"ERCC1","EP300"
"84",2067,5438,"ERCC1","POLR2I"
"85",2067,472,"ERCC1","ATM"
"86",2067,116028,"ERCC1","RMI2"
"87",2067,4436,"ERCC1","MSH2"
"88",2067,54107,"ERCC1","POLE3"
"89",2067,4361,"ERCC1","MRE11"
"90",2067,3978,"ERCC1","LIG1"
"91",2067,5424,"ERCC1","POLD1"
"92",2067,5985,"ERCC1","RFC5"
"93",2067,9156,"ERCC1","EXO1"
"94",2067,5435,"ERCC1","POLR2F"
"95",2067,7515,"ERCC1","XRCC1"
"96",2067,5434,"ERCC1","POLR2E"
"97",2067,4683,"ERCC1","NBN"
"98",2067,100533467,"ERCC1","BIVM-ERCC5"
"99",2067,9557,"ERCC1","CHD1L"
"100",2067,9716,"ERCC1","AQR"
"101",2067,5884,"ERCC1","RAD17"
"102",2067,5440,"ERCC1","POLR2K"
"103",2067,2967,"ERCC1","GTF2H3"
"104",2067,3364,"ERCC1","HUS1"
"105",2067,7158,"ERCC1","TP53BP1"
"106",2067,545,"ERCC1","ATR"
"107",2067,5591,"ERCC1","PRKDC"
"108",2067,9656,"ERCC1","MDC1"
"109",2067,5984,"ERCC1","RFC4"
"110",2067,2175,"ERCC1","FANCA"
"111",2067,672,"ERCC1","BRCA1"
"112",2067,51426,"ERCC1","POLK"
"113",2067,80010,"ERCC1","RMI1"
"114",2067,1161,"ERCC1","ERCC8"
"115",2067,5981,"ERCC1","RFC1"
"116",2067,5431,"ERCC1","POLR2B"
"117",2067,6118,"ERCC1","RPA2"
"118",2067,3150,"ERCC1","HMGN1"
"119",2067,7311,"ERCC1","UBA52"
"120",2067,57599,"ERCC1","WDR48"
"121",2067,51455,"ERCC1","REV1"
"122",2067,2071,"ERCC1","ERCC3"
"123",2067,83695,"ERCC1","RHNO1"
"124",2067,55215,"ERCC1","FANCI"
"125",2067,2178,"ERCC1","FANCE"
"126",2067,328,"ERCC1","APEX1"
"127",2067,56949,"ERCC1","XAB2"
"128",2067,6917,"ERCC1","TCEA1"
"129",2067,91442,"ERCC1","FAAP24"
"130",2067,80198,"ERCC1","MUS81"
"131",2067,144715,"ERCC1","RAD9B"
"132",2067,404672,"ERCC1","GTF2H5"
"133",2067,4331,"ERCC1","MNAT1"
"134",2067,7508,"ERCC1","XPC"
"135",2067,641,"ERCC1","BLM"
"136",2067,2072,"ERCC1","ERCC4"
"137",2067,1643,"ERCC1","DDB2"
"138",2067,2189,"ERCC1","FANCG"
"139",2067,5983,"ERCC1","RFC3"
"140",2067,353497,"ERCC1","POLN"
"141",2067,4292,"ERCC1","MLH1"
"142",2067,8451,"ERCC1","CUL4A"
"143",2067,7486,"ERCC1","WRN"
"144",2067,7517,"ERCC1","XRCC3"
"145",2067,84126,"ERCC1","ATRIP"
"146",5982,1763,"RFC2","DNA2"
"147",5982,56852,"RFC2","RAD18"
"148",5982,5432,"RFC2","POLR2C"
"149",5982,8450,"RFC2","CUL4B"
"150",5982,5439,"RFC2","POLR2J"
"151",5982,11073,"RFC2","TOPBP1"
"152",5982,5932,"RFC2","RBBP8"
"153",5982,5883,"RFC2","RAD9A"
"154",5982,6119,"RFC2","RPA3"
"155",5982,5426,"RFC2","POLE"
"156",5982,2968,"RFC2","GTF2H4"
"157",5982,83990,"RFC2","BRIP1"
"158",5982,7874,"RFC2","USP7"
"159",5982,1642,"RFC2","DDB1"
"160",5982,29089,"RFC2","UBE2T"
"161",5982,7156,"RFC2","TOP3A"
"162",5982,7507,"RFC2","XPA"
"163",5982,2068,"RFC2","ERCC2"
"164",5982,57804,"RFC2","POLD4"
"165",5982,1022,"RFC2","CDK7"
"166",5982,3980,"RFC2","LIG3"
"167",5982,5425,"RFC2","POLD2"
"168",5982,5888,"RFC2","RAD51"
"169",5982,5427,"RFC2","POLE2"
"170",5982,5889,"RFC2","RAD51C"
"171",5982,10111,"RFC2","RAD50"
"172",5982,56655,"RFC2","POLE4"
"173",5982,6117,"RFC2","RPA1"
"174",5982,5437,"RFC2","POLR2H"
"175",5982,2176,"RFC2","FANCC"
"176",5982,7316,"RFC2","UBC"
"177",5982,7516,"RFC2","XRCC2"
"178",5982,472,"RFC2","ATM"
"179",5982,116028,"RFC2","RMI2"
"180",5982,4436,"RFC2","MSH2"
"181",5982,4361,"RFC2","MRE11"
"182",5982,3978,"RFC2","LIG1"
"183",5982,2067,"RFC2","ERCC1"
"184",5982,5985,"RFC2","RFC5"
"185",5982,9156,"RFC2","EXO1"
"186",5982,7515,"RFC2","XRCC1"
